"name","archive_url","stars"
"arthur-es/gastaru","https://api.github.com/repos/arthur-es/gastaru/{archive_format}{/ref}","1"
"BuildForSDG/team-181","https://api.github.com/repos/BuildForSDG/team-181/{archive_format}{/ref}","1"
"TartaricAcid/TLM-Localization","https://api.github.com/repos/TartaricAcid/TLM-Localization/{archive_format}{/ref}","1"
"SteelCorp/IronTask","https://api.github.com/repos/SteelCorp/IronTask/{archive_format}{/ref}","1"
"philippeoz/feiras_livres","https://api.github.com/repos/philippeoz/feiras_livres/{archive_format}{/ref}","1"
"aris-space/aris-euler-sim-con","https://api.github.com/repos/aris-space/aris-euler-sim-con/{archive_format}{/ref}","1"
"jonaylor89/chronos","https://api.github.com/repos/jonaylor89/chronos/{archive_format}{/ref}","1"
"gclsgithub/bigdataflow","https://api.github.com/repos/gclsgithub/bigdataflow/{archive_format}{/ref}","1"
"bednaJedna/simple_website_crawler","https://api.github.com/repos/bednaJedna/simple_website_crawler/{archive_format}{/ref}","1"
"AnnikaCodes/expecto-botronum","https://api.github.com/repos/AnnikaCodes/expecto-botronum/{archive_format}{/ref}","1"
"jkhlr/pytorch-distributed-rnn","https://api.github.com/repos/jkhlr/pytorch-distributed-rnn/{archive_format}{/ref}","1"
"lsst/ap_verify","https://api.github.com/repos/lsst/ap_verify/{archive_format}{/ref}","1"
"OrrDev/Orr-Odoo","https://api.github.com/repos/OrrDev/Orr-Odoo/{archive_format}{/ref}","1"
"cloudmitigator/reflex-aws-cloudfront-origin-tls-versions","https://api.github.com/repos/cloudmitigator/reflex-aws-cloudfront-origin-tls-versions/{archive_format}{/ref}","1"
"WilkenUweK/WilkenUweK.github.io","https://api.github.com/repos/WilkenUweK/WilkenUweK.github.io/{archive_format}{/ref}","1"
"hmc-lair-shark-tracking/auv-sim","https://api.github.com/repos/hmc-lair-shark-tracking/auv-sim/{archive_format}{/ref}","1"
"ArtEntwicklung/ArtEntwicklung.github.io","https://api.github.com/repos/ArtEntwicklung/ArtEntwicklung.github.io/{archive_format}{/ref}","1"
"crf5xc/crf5xc.github.io","https://api.github.com/repos/crf5xc/crf5xc.github.io/{archive_format}{/ref}","1"
"MarkMelzel/MarkMelzel.github.io","https://api.github.com/repos/MarkMelzel/MarkMelzel.github.io/{archive_format}{/ref}","1"
"Djandwich/disturbance","https://api.github.com/repos/Djandwich/disturbance/{archive_format}{/ref}","1"
"aBraken/github.io","https://api.github.com/repos/aBraken/github.io/{archive_format}{/ref}","1"
"sethbergman/ansible","https://api.github.com/repos/sethbergman/ansible/{archive_format}{/ref}","1"
"open-simulation-platform/conan-fmilibrary","https://api.github.com/repos/open-simulation-platform/conan-fmilibrary/{archive_format}{/ref}","1"
"realgs/Python-course-SI","https://api.github.com/repos/realgs/Python-course-SI/{archive_format}{/ref}","1"
"ihmeuw-msca/anml","https://api.github.com/repos/ihmeuw-msca/anml/{archive_format}{/ref}","1"
"jkahn/islex","https://api.github.com/repos/jkahn/islex/{archive_format}{/ref}","1"
"AllenInstitute/mtrain_regimens","https://api.github.com/repos/AllenInstitute/mtrain_regimens/{archive_format}{/ref}","1"
"rstudio/fuzzbucket","https://api.github.com/repos/rstudio/fuzzbucket/{archive_format}{/ref}","1"
"jonathankamau/MovieBuff-API","https://api.github.com/repos/jonathankamau/MovieBuff-API/{archive_format}{/ref}","1"
"Masao-Someki/CycleVAE_VC","https://api.github.com/repos/Masao-Someki/CycleVAE_VC/{archive_format}{/ref}","1"
"Dithn/MUSE","https://api.github.com/repos/Dithn/MUSE/{archive_format}{/ref}","1"
"EvaVerri/EvaVerri.github.io","https://api.github.com/repos/EvaVerri/EvaVerri.github.io/{archive_format}{/ref}","1"
"sagnix01/sagnix01.githup.io","https://api.github.com/repos/sagnix01/sagnix01.githup.io/{archive_format}{/ref}","1"
"woctezuma/download-steam-banners","https://api.github.com/repos/woctezuma/download-steam-banners/{archive_format}{/ref}","1"
"honzajavorek/honzajavorek.cz","https://api.github.com/repos/honzajavorek/honzajavorek.cz/{archive_format}{/ref}","1"
"zushicat/cologne-trees-REST-API","https://api.github.com/repos/zushicat/cologne-trees-REST-API/{archive_format}{/ref}","1"
"app-sre/sretoolbox","https://api.github.com/repos/app-sre/sretoolbox/{archive_format}{/ref}","1"
"rackerlabs/docs-cloud-databases","https://api.github.com/repos/rackerlabs/docs-cloud-databases/{archive_format}{/ref}","1"
"Zethson/tmh-plane","https://api.github.com/repos/Zethson/tmh-plane/{archive_format}{/ref}","1"
